"id","id","category","prompt","syntax_valid","semantic_valid","error_category","error_detail","n_processes","expected_processes","matches_gt_steps","extra_steps","missing_steps","hallucinated_steps","included_steps","called_steps","ground_truth_steps","code_chars","code_lines","n_workflow_calls","turns","elapsed_s","llm_reply_excerpt","nextflow_code","ground_truth_code"
"A01_mlst_listeria","A01_mlst_listeria","A01","I have a Listeria monocytogenes assembly and I want to run MLST typing on it.","Y","Y","none","","1","1","Y","","","","step_4TY_MLST__mlst","step_4TY_MLST__mlst","step_4TY_MLST__mlst","319","18","1","2","8.8","Approved. I will proceed with the MLST typing step for your Listeria monocytogenes assembly using the specified component.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getAssembly } from '../functions/parameters.nf'

include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_4TY_MLST__mlst(getAssembly())
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'
workflow {
    step_4TY_MLST__mlst(getInput())
}
"
"A02_mlst_ecoli","A02_mlst_ecoli","A02","Run MLST typing on an Escherichia coli assembly.","Y","Y","none","","1","1","Y","","","","step_4TY_MLST__mlst","step_4TY_MLST__mlst","step_4TY_MLST__mlst","319","18","1","2","8.3","Approved. I will proceed with MLST typing for your Escherichia coli assembly using the specified component.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getAssembly } from '../functions/parameters.nf'

include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_4TY_MLST__mlst(getAssembly())
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'
workflow {
    step_4TY_MLST__mlst(getInput())
}
"
"A03_mlst_salmonella","A03_mlst_salmonella","A03","Classic MLST (PubMLST) on a Salmonella enterica assembly.","Y","N","missing_param","ERROR ~ missing required param: step_3TX_species__kmerfinder__db","0","1","N","step_2AS_mapping__bowtie, step_3TX_species__kmerfinder, step_4AN_AMR__abricate, step_4AN_AMR__staramr, step_4AN_genes__prokka, step_4TY_cgMLST__chewbbaca, step_4TY_flaA__flaA","","","step_2AS_mapping__bowtie, step_3TX_species__kmerfinder, step_4AN_AMR__abricate, step_4AN_AMR__staramr, step_4AN_genes__prokka, step_4TY_MLST__mlst, step_4TY_cgMLST__chewbbaca, step_4TY_flaA__flaA","step_3TX_species__kmerfinder, step_2AS_mapping__bowtie, step_4AN_AMR__abricate, step_4AN_genes__prokka, step_4AN_AMR__staramr, step_4TY_MLST__mlst, step_4TY_flaA__flaA, step_4TY_cgMLST__chewbbaca","step_4TY_MLST__mlst","2240","76","8","2","25.6","Perfetto! Procederò con il modulo `module_typing_bacteria` per eseguire l'MLST su Salmonella enterica. Questo modulo include il passo `step_4TY_MLST__mlst` e altri strumenti utili per l'analisi batterica.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getAssembly; getTrimmedReads } from '../functions/parameters.nf'

include { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'

include { step_4AN_AMR__abricate } from '../steps/step_4AN_AMR__abricate'

include { step_4AN_genes__prokka } from '../steps/step_4AN_genes__prokka'

include { extractKey; getEmpty } from '../functions/common.nf'

include { step_2AS_mapping__bowtie } from '../steps/step_2AS_mapping__bowtie'

include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'

include { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'

include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'

include { step_3TX_species__kmerfinder } from '../steps/step_3TX_species__kmerfinder'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow module_typing_bacteria {
    
    take:
        
        trimmed
        
        assembly
        
    
    main:
        assigned_species = step_3TX_species__kmerfinder(assembly).assigned_species

        if (!params.skip_bestref_mapping) {
          trimmed.cross(assigned_species) { extractKey(it) }.multiMap {
            trimmed: it[0]
            species: it[1][1]
            referencePath: it[1][2]
          }.set { trimAndAndSpecies }
          step_2AS_mapping__bowtie(trimAndAndSpecies.trimmed, trimAndAndSpecies.referencePath)
        }

        step_4AN_AMR__abricate(assembly)

        step_4AN_genes__prokka(assembly.map{ [ it[0], it[1], 'Bacteria', '-', '-', getEmpty() ] })

        assembly.cross(assigned_species) { extractKey(it) }.multiMap {
          assembly: it[0]
          species: it[1][1]
        }.set { assemblyAndSpecies }

        step_4AN_AMR__staramr(assemblyAndSpecies.assembly, assemblyAndSpecies.species)
        step_4TY_MLST__mlst(assemblyAndSpecies.assembly)
        step_4TY_flaA__flaA(assemblyAndSpecies.assembly, assemblyAndSpecies.species)
        step_4TY_cgMLST__chewbbaca(assemblyAndSpecies.assembly, assemblyAndSpecies.species, '')
    
    emit:
        
        genus_species = assigned_species
        
    
}

// --- ENTRYPOINT ---
workflow {
    module_typing_bacteria(getTrimmedReads(true), getAssembly())
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'
workflow {
    step_4TY_MLST__mlst(getInput())
}
"
"A04_cgmlst_listeria","A04_cgmlst_listeria","A04","cgMLST allelic profile for Listeria monocytogenes from a pre-existing assembly.","Y","N","missing_param","ERROR ~ missing required param: step_3TX_species__kmerfinder__db","0","3","N","","step_4TY_cgMLST__chewbbaca","","","","step_4TY_cgMLST__chewbbaca","370","18","0","2","9.7","Pipeline approved. I will now prepare the detailed plan for the Architect Agent to build the cgMLST allelic profile pipeline for Listeria monocytogenes using the assembly you provided.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { module_typing_bacteria } from '../modules/module_typing_bacteria'

include { getAssembly; getTrimmedReads } from '../functions/parameters.nf'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    module_typing_bacteria(getTrimmedReads(true), getAssembly())
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}
"
"A05_cgmlst_ecoli","A05_cgmlst_ecoli","A05","cgMLST allelic profile on an Escherichia coli assembly.","Y","Y","none","","3","3","Y","","","","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","423","18","1","2","10.2","Understood. I will proceed with generating a cgMLST allelic profile for your Escherichia coli assembly using the `step_4TY_cgMLST__chewbbaca` component. If you have any additional requirements or changes, let me know before I finalize the plan.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getAssembly; optionalOrDefault; param } from '../functions/parameters.nf'

include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_4TY_cgMLST__chewbbaca(getAssembly(), param('genus_species'), optionalOrDefault('schema', ''))
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}
"
"A06_cgmlst_salmonella","A06_cgmlst_salmonella","A06","Generate cgMLST allelic profiles starting from a Salmonella enterica assembly.","Y","Y","none","","3","3","Y","","","","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","423","18","1","2","9.5","Approved. I will generate a pipeline to create cgMLST allelic profiles for Salmonella enterica using the assembly and genus_species information.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getAssembly; optionalOrDefault; param } from '../functions/parameters.nf'

include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_4TY_cgMLST__chewbbaca(getAssembly(), param('genus_species'), optionalOrDefault('schema', ''))
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}
"
"A07_flaa_campylobacter","A07_flaa_campylobacter","A07","Run flaA typing on a Campylobacter assembly.","Y","Y","none","","1","1","Y","","","","step_4TY_flaA__flaA","step_4TY_flaA__flaA","step_4TY_flaA__flaA","350","18","1","2","8.9","I will proceed with the flaA typing step for your Campylobacter assembly using the specified component.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getAssembly; param } from '../functions/parameters.nf'

include { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_4TY_flaA__flaA(getAssembly(), param('genus_species'))
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'
workflow {
    step_4TY_flaA__flaA(getInput(), param('genus_species'))
}
"
"A08_staramr_campylobacter","A08_staramr_campylobacter","A08","AMR profiling with staramr on a Campylobacter assembly.","Y","N","missing_param","ERROR ~ missing required param: step_3TX_species__kmerfinder__db","0","1","N","step_3TX_species__kmerfinder","","","step_3TX_species__kmerfinder, step_4AN_AMR__staramr","step_3TX_species__kmerfinder, step_4AN_AMR__staramr","step_4AN_AMR__staramr","583","21","2","2","9.7","Understood! I will design a pipeline that includes species identification using `step_3TX_species__kmerfinder` followed by AMR profiling with `step_4AN_AMR__staramr`.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'

include { step_3TX_species__kmerfinder } from '../steps/step_3TX_species__kmerfinder'

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    kmerfinder_out = step_3TX_species__kmerfinder(getSingleInput())
    step_4AN_AMR__staramr(kmerfinder_out.assigned_species.map { [ it[0], it[1], it[2][1] ] }, kmerfinder_out.assigned_species.map { it[1] })
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'
workflow {
    step_4AN_AMR__staramr(getSingleInput(), param('genus_species'))
}
"
"B01_spades_listeria","B01_spades_listeria","B01","De novo genome assembly with SPAdes from Illumina paired-end reads of Listeria monocytogenes.","Y","Y","none","","6","3","N","step_1PP_trimming__fastp","","","step_1PP_trimming__fastp, step_2AS_denovo__spades","step_1PP_trimming__fastp, step_2AS_denovo__spades","step_2AS_denovo__spades","472","21","2","2","11.4","The pipeline for de novo genome assembly of Listeria monocytogenes using SPAdes with Illumina paired-end reads has been approved. I will now draft the detailed plan for the Architect Agent.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'

include { getSingleInput } from '../functions/parameters.nf'

include { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    trimmed = step_1PP_trimming__fastp(getSingleInput()).trimmed
    step_2AS_denovo__spades(trimmed)
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'
workflow {
    step_2AS_denovo__spades(getSingleInput())
}
"
"B02_shovill_ecoli","B02_shovill_ecoli","B02","Quick bacterial genome assembly with Shovill from Illumina reads (Escherichia coli).","Y","N","silent_no_op","No process placeholders appeared. when: clause filtered everything?","0","3","Y","","","","","step_2AS_denovo__shovill","step_2AS_denovo__shovill","579","34","1","2","24.5","⚠️ **Generation Warning**: I reached the maximum number of attempts trying to generate a perfectly valid pipeline. I have output the current draft as a **best effort**, but please note that the generated code **might have errors or missing components** based on the strict DSL2 rules.","// ⚠️ WARNING: Pipeline generation failed strict DSL2 validation.
// The code above is potentially broken or incomplete and was output as a best-effort draft.

nextflow.enable.dsl=2

// --- IMPORTS ---

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow module_wgs_bacteria {
    
    take:
        
        trimmedReads
        
    
    main:
        step_2AS_denovo__shovill(trimmedReads)
    
    emit:
        
        step_2AS_denovo__shovill.out
        
    
}

// --- ENTRYPOINT ---
workflow {
    module_wgs_bacteria(getSingleInput())
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_2AS_denovo__shovill } from '../steps/step_2AS_denovo__shovill'
workflow {
    step_2AS_denovo__shovill(getSingleInput())
}
"
