"id","id","category","prompt","syntax_valid","semantic_valid","error_category","error_detail","n_processes","expected_processes","matches_gt_steps","extra_steps","missing_steps","hallucinated_steps","included_steps","called_steps","ground_truth_steps","code_chars","code_lines","n_workflow_calls","turns","elapsed_s","llm_reply_excerpt","nextflow_code","ground_truth_code"
"A01_mlst_listeria","A01_mlst_listeria","A01","I have a Listeria monocytogenes assembly and I want to run MLST typing on it.","Y","Y","none","","1","1","Y","","","","step_4TY_MLST__mlst","step_4TY_MLST__mlst","step_4TY_MLST__mlst","319","18","1","2","9.7","Perfect! I will design a pipeline to perform MLST typing on your Listeria monocytogenes assembly using the `step_4TY_MLST__mlst` tool.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'

include { getAssembly } from '../functions/parameters.nf'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_4TY_MLST__mlst(getAssembly())
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'
workflow {
    step_4TY_MLST__mlst(getInput())
}
"
"A02_mlst_ecoli","A02_mlst_ecoli","A02","Run MLST typing on an Escherichia coli assembly.","Y","Y","none","","1","1","Y","","","","step_4TY_MLST__mlst","step_4TY_MLST__mlst","step_4TY_MLST__mlst","319","18","1","2","8.5","Understood. I will design a pipeline that includes MLST typing for your Escherichia coli assembly using the `step_4TY_MLST__mlst` component.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'

include { getAssembly } from '../functions/parameters.nf'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_4TY_MLST__mlst(getAssembly())
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'
workflow {
    step_4TY_MLST__mlst(getInput())
}
"
"A03_mlst_salmonella","A03_mlst_salmonella","A03","Classic MLST (PubMLST) on a Salmonella enterica assembly.","Y","Y","none","","1","1","Y","","","","step_4TY_MLST__mlst","step_4TY_MLST__mlst","step_4TY_MLST__mlst","319","18","1","2","33.8","Approved! I will proceed with the MLST typing step for your Salmonella enterica assembly using the specified component.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'

include { getAssembly } from '../functions/parameters.nf'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_4TY_MLST__mlst(getAssembly())
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'
workflow {
    step_4TY_MLST__mlst(getInput())
}
"
"A04_cgmlst_listeria","A04_cgmlst_listeria","A04","cgMLST allelic profile for Listeria monocytogenes from a pre-existing assembly.","Y","Y","none","","3","3","Y","","","","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","423","18","1","2","20.7","I will now design the pipeline for generating a cgMLST allelic profile for Listeria monocytogenes using the pre-existing assembly. The pipeline will use the `step_4TY_cgMLST__chewbbaca` component.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getAssembly; optionalOrDefault; param } from '../functions/parameters.nf'

include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_4TY_cgMLST__chewbbaca(getAssembly(), param('genus_species'), optionalOrDefault('schema', ''))
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}
"
"A05_cgmlst_ecoli","A05_cgmlst_ecoli","A05","cgMLST allelic profile on an Escherichia coli assembly.","Y","Y","none","","3","3","Y","","","","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","423","18","1","2","14.2","Understood. I will proceed with the cgMLST allelic profile generation for Escherichia coli using the `step_4TY_cgMLST__chewbbaca` component.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getAssembly; optionalOrDefault; param } from '../functions/parameters.nf'

include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_4TY_cgMLST__chewbbaca(getAssembly(), param('genus_species'), optionalOrDefault('schema', ''))
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}
"
"A06_cgmlst_salmonella","A06_cgmlst_salmonella","A06","Generate cgMLST allelic profiles starting from a Salmonella enterica assembly.","Y","Y","none","","3","3","Y","","","","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","423","18","1","2","15.7","I will proceed with generating cgMLST allelic profiles for Salmonella enterica using the chewbbaca tool. The pipeline will include the step for cgMLST typing with the required inputs: assembly, genus_species, and schema.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getAssembly; optionalOrDefault; param } from '../functions/parameters.nf'

include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_4TY_cgMLST__chewbbaca(getAssembly(), param('genus_species'), optionalOrDefault('schema', ''))
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}
"
"A07_flaa_campylobacter","A07_flaa_campylobacter","A07","Run flaA typing on a Campylobacter assembly.","Y","Y","none","","1","1","Y","","","","step_4TY_flaA__flaA","step_4TY_flaA__flaA","step_4TY_flaA__flaA","350","18","1","2","11.0","Approved. I will set up the flaA typing step for your Campylobacter assembly using the specified component.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getAssembly; param } from '../functions/parameters.nf'

include { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_4TY_flaA__flaA(getAssembly(), param('genus_species'))
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'
workflow {
    step_4TY_flaA__flaA(getInput(), param('genus_species'))
}
"
"A08_staramr_campylobacter","A08_staramr_campylobacter","A08","AMR profiling with staramr on a Campylobacter assembly.","Y","Y","none","","1","1","Y","","","","step_4AN_AMR__staramr","step_4AN_AMR__staramr","step_4AN_AMR__staramr","362","18","1","2","11.8","Approved. I will proceed with the AMR profiling pipeline using Staramr for your Campylobacter assembly.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getSingleInput; param } from '../functions/parameters.nf'

include { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_4AN_AMR__staramr(getSingleInput(), param('genus_species'))
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'
workflow {
    step_4AN_AMR__staramr(getSingleInput(), param('genus_species'))
}
"
"B01_spades_listeria","B01_spades_listeria","B01","De novo genome assembly with SPAdes from Illumina paired-end reads of Listeria monocytogenes.","Y","Y","none","","3","3","Y","","","","step_2AS_denovo__spades","step_2AS_denovo__spades","step_2AS_denovo__spades","337","18","1","2","19.8","I will proceed with the basic de novo assembly using SPAdes for your Listeria monocytogenes Illumina paired-end reads.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getSingleInput } from '../functions/parameters.nf'

include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_2AS_denovo__spades(getSingleInput())
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'
workflow {
    step_2AS_denovo__spades(getSingleInput())
}
"
"B02_shovill_ecoli","B02_shovill_ecoli","B02","Quick bacterial genome assembly with Shovill from Illumina reads (Escherichia coli).","N","N","no_code","http exception: HTTPConnectionPool(host='127.0.0.1', port=8765): Read timed out. (read timeout=180)","0","3","N","","step_2AS_denovo__shovill","","","","step_2AS_denovo__shovill","0","0","0","2","186.1","","","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_2AS_denovo__shovill } from '../steps/step_2AS_denovo__shovill'
workflow {
    step_2AS_denovo__shovill(getSingleInput())
}
"
"B03_unicycler_salmonella","B03_unicycler_salmonella","B03","Assemble a Salmonella enterica genome with Unicycler from Illumina paired-end reads.","Y","Y","none","","8","3","N","step_1PP_hostdepl__bowtie, step_1PP_trimming__fastp","","","step_1PP_hostdepl__bowtie, step_1PP_trimming__fastp, step_2AS_denovo__unicycler","step_1PP_trimming__fastp, step_1PP_hostdepl__bowtie, step_2AS_denovo__unicycler","step_2AS_denovo__unicycler","657","26","3","2","13.0","Approved! I will proceed with the pipeline design for assembling a Salmonella enterica genome from Illumina paired-end reads using Unicycler. The pipeline will include preprocessing (trimming with fastp), host depletion (using Bowtie), and assembly with Unicycler.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_1PP_hostdepl__bowtie } from '../steps/step_1PP_hostdepl__bowtie'

include { getHostUnkeyed; getSingleInput } from '../functions/parameters.nf'

include { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'

include { step_2AS_denovo__unicycler } from '../steps/step_2AS_denovo__unicycler'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    trimmed = step_1PP_trimming__fastp(getSingleInput()).trimmed

    depleted = step_1PP_hostdepl__bowtie(trimmed.combine(getHostUnkeyed()))

    step_2AS_denovo__unicycler(depleted)
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_2AS_denovo__unicycler } from '../steps/step_2AS_denovo__unicycler'
workflow {
    step_2AS_denovo__unicycler(getSingleInput())
}
"
