"id","id","category","prompt","syntax_valid","semantic_valid","error_category","error_detail","n_processes","expected_processes","matches_gt_steps","extra_steps","missing_steps","hallucinated_steps","included_steps","called_steps","ground_truth_steps","code_chars","code_lines","n_workflow_calls","turns","elapsed_s","llm_reply_excerpt","nextflow_code","ground_truth_code"
"A01_mlst_listeria","A01_mlst_listeria","A01","I have a Listeria monocytogenes assembly and I want to run MLST typing on it.","Y","Y","none","","1","1","Y","","","","step_4TY_MLST__mlst","step_4TY_MLST__mlst","step_4TY_MLST__mlst","388","21","1","2","11.8","Proceeding with MLST typing for your Listeria monocytogenes assembly using the `step_4TY_MLST__mlst` component.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

def mlstExcludedSchemas = 'lmo2,lmo3'

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    assembly = getSingleInput()
    step_4TY_MLST__mlst(assembly)
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'
workflow {
    step_4TY_MLST__mlst(getInput())
}
"
"A02_mlst_ecoli","A02_mlst_ecoli","A02","Run MLST typing on an Escherichia coli assembly.","Y","Y","none","","1","1","Y","","","","step_4TY_MLST__mlst","step_4TY_MLST__mlst","step_4TY_MLST__mlst","367","20","1","2","8.9","Understood! I will proceed with running MLST typing on your *Escherichia coli* assembly using the `step_4TY_MLST__mlst` component.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

def mlstExcludedSchemas = 'ecoli,cgmlst'

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    step_4TY_MLST__mlst(getSingleInput())
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'
workflow {
    step_4TY_MLST__mlst(getInput())
}
"
"A03_mlst_salmonella","A03_mlst_salmonella","A03","Classic MLST (PubMLST) on a Salmonella enterica assembly.","Y","Y","none","","1","1","Y","","","","step_4TY_MLST__mlst","step_4TY_MLST__mlst","step_4TY_MLST__mlst","433","21","1","2","9.1","Proceeding with the MLST pipeline for *Salmonella enterica* using the PubMLST scheme.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

def mlstContainer = 'ghcr.io/genpat-it/mlst-w-db:2.23.0--60b8b2e3dd_231219.124455'

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    assembly = getSingleInput()
    step_4TY_MLST__mlst(assembly)
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'
workflow {
    step_4TY_MLST__mlst(getInput())
}
"
"A04_cgmlst_listeria","A04_cgmlst_listeria","A04","cgMLST allelic profile for Listeria monocytogenes from a pre-existing assembly.","Y","Y","file_not_found","WARN: file not found: '/mnt/data/cohesive_llm_bench_scratch/_shared_inputdir/2026/2026.LIS.2.1.1/2AS_import/DS99999-DT260224_external/result/*.fasta'","3","3","Y","","","","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","690","25","1","2","10.0","Pipeline approved. Proceeding with the cgMLST allelic profile generation for *Listeria monocytogenes* using the pre-existing assembly.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

def chewbbacaSchema = 'l_mono_chewie_1748_220623'

def chewbbacaSchemaPath = ""/schemas/Listeria_monocytogenes_Pasteur_cgMLST_2022-06-23T18_03_54.613576.zip""

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    assembly = getSingleInput()
    chewbbaca_out = step_4TY_cgMLST__chewbbaca(assembly, 'Listeria monocytogenes', chewbbacaSchema)
    hashing(chewbbaca_out.alleles, file(chewbbacaSchemaPath))
    chewbbaca_check(chewbbaca_out.stats)
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}
"
"A05_cgmlst_ecoli","A05_cgmlst_ecoli","A05","cgMLST allelic profile on an Escherichia coli assembly.","Y","Y","none","","3","3","Y","","","","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","475","21","1","2","15.9","Understood! I will now generate the detailed pipeline plan for cgMLST allelic profiling on your *Escherichia coli* assembly using **chewBBACA**.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'

include { getSingleInput; optionalOrDefault } from '../functions/parameters.nf'

// --- GLOBALS ---

def genusSpecies = 'Escherichia coli'

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    assembly = getSingleInput()
    step_4TY_cgMLST__chewbbaca(assembly, genusSpecies, optionalOrDefault('schema', ''))
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}
"
"A06_cgmlst_salmonella","A06_cgmlst_salmonella","A06","Generate cgMLST allelic profiles starting from a Salmonella enterica assembly.","Y","Y","file_not_found","WARN: file not found: '/mnt/data/cohesive_llm_bench_scratch/_shared_inputdir/2026/2026.SAL.2.1.1/2AS_import/DS99999-DT260224_external/result/*.fasta'","3","3","Y","","","","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","1088","44","1","2","13.2","Understood! I will proceed with generating a cgMLST allelic profiling pipeline for *Salmonella enterica* using the `module_typing_bacteria` template, which includes `step_4TY_cgMLST__chewbbaca`.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'

include { getAssembly } from '../functions/parameters.nf'

// --- GLOBALS ---

def chewbbacaSchemaPath = ""${params.assets_dir}/module_typing_bacteria/schemas/salmonella_enterica_cgmlst_schema""

def chewbbacaSchemaCode = 'Salmonella_enterica_cgmlst'

def chewbbacaSchemaRiscd = '230515-020223051500512127-4TY_cgMLST-chewbbaca'

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow wf_salmonella_cgmlst {
    
    take:
        
        assembly
        
    
    main:
        assembly.multiMap {
            assembly: it
            species: 'Salmonella enterica'
            schema: [ chewbbacaSchemaRiscd, chewbbacaSchemaCode, file(chewbbacaSchemaPath) ]
        }.set { asmSpeciesSchema }

        step_4TY_cgMLST__chewbbaca(asmSpeciesSchema.assembly, asmSpeciesSchema.species, asmSpeciesSchema.schema)

        cgmlst_profiles = step_4TY_cgMLST__chewbbaca.profiles
    
}

// --- ENTRYPOINT ---
workflow {
    wf_salmonella_cgmlst(getAssembly())
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}
"
"A07_flaa_campylobacter","A07_flaa_campylobacter","A07","Run flaA typing on a Campylobacter assembly.","Y","Y","none","","1","1","Y","","","","step_4TY_flaA__flaA","step_4TY_flaA__flaA","step_4TY_flaA__flaA","399","21","1","2","10.4","Understood! The pipeline for **flaA typing on a Campylobacter assembly** has been approved and will proceed as planned.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

def genusSpecies = 'Campylobacter'

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

// --- ENTRYPOINT ---
workflow {
    assembly = getSingleInput()
    step_4TY_flaA__flaA(assembly, genusSpecies)
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_flaA__flaA } from '../steps/step_4TY_flaA__flaA'
workflow {
    step_4TY_flaA__flaA(getInput(), param('genus_species'))
}
"
"A08_staramr_campylobacter","A08_staramr_campylobacter","A08","AMR profiling with staramr on a Campylobacter assembly.","Y","N","missing_param","ERROR ~ missing required param: step_3TX_species__kmerfinder__db","0","1","N","step_3TX_species__kmerfinder","step_4AN_AMR__staramr","","step_3TX_species__kmerfinder","step_3TX_species__kmerfinder","step_4AN_AMR__staramr","615","33","1","2","9.8","Approved! The pipeline for AMR profiling with **staramr** on a **Campylobacter** assembly will proceed as follows:","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getSingleInput } from '../functions/parameters.nf'

include { step_3TX_species__kmerfinder } from '../steps/step_3TX_species__kmerfinder'

// --- GLOBALS ---

def genusSpecies = 'campylobacter_jejuni'

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow wf_amr_campylobacter {
    
    take:
        
        assembly
        
    
    main:
        kmerfinder_out = step_3TX_species__kmerfinder(assembly)
        staramr(assembly, kmerfinder_out.assigned_species)
    
}

// --- ENTRYPOINT ---
workflow {
    wf_amr_campylobacter(getSingleInput())
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4AN_AMR__staramr } from '../steps/step_4AN_AMR__staramr'
workflow {
    step_4AN_AMR__staramr(getSingleInput(), param('genus_species'))
}
"
"B01_spades_listeria","B01_spades_listeria","B01","De novo genome assembly with SPAdes from Illumina paired-end reads of Listeria monocytogenes.","Y","N","missing_param","ERROR ~ missing required param: hosts_dir","0","3","N","step_1PP_hostdepl__bowtie","","","step_1PP_hostdepl__bowtie, step_2AS_denovo__spades","step_1PP_hostdepl__bowtie, step_2AS_denovo__spades","step_2AS_denovo__spades","1392","64","2","2","11.3","Approved! The pipeline will proceed with the `module_denovo` template for de novo assembly of *Listeria monocytogenes* using SPAdes from Illumina paired-end reads.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { extractKey } from '../functions/common.nf'

include { getHost; getSingleInput } from '../functions/parameters.nf'

include { step_1PP_hostdepl__bowtie } from '../steps/step_1PP_hostdepl__bowtie'

include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'

// --- GLOBALS ---

def hostRiscd = '220308-020220308005121273-1PP_import-external'

def hostCode = 'GRCh38'

def hostPath = ""${params.assets_dir}/module_denovo/GRCh38.fasta""

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow module_denovo {
    
    take:
        
        trimmedReads
        
        host
        
    
    main:
        trimmedReads.cross(host) { extractKey(it) }
            .map { [ it[0][0], it[0][1], it[1][1] ] } // riscd, reads, host
            .branch {
                with_host: it[1][1]
                without_host: true
            }
            .set { branchedTrimmed }

        depleted = step_1PP_hostdepl__bowtie(branchedTrimmed.with_host)

        branchedTrimmed.without_host
            .mix(depleted)
            .map { it[0,1] }
            .set { denovoInput }

        assembled = step_2AS_denovo__spades(denovoInput)
    
    emit:
        
        assembled = assembled
        
        depleted = depleted
        
    
}

// --- ENTRYPOINT ---
workflow {
    module_denovo(getSingleInput(), getHost())
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'
workflow {
    step_2AS_denovo__spades(getSingleInput())
}
"
"B02_shovill_ecoli","B02_shovill_ecoli","B02","Quick bacterial genome assembly with Shovill from Illumina reads (Escherichia coli).","Y","Y","none","","3","3","Y","","","","step_2AS_denovo__shovill","step_2AS_denovo__shovill","step_2AS_denovo__shovill","650","37","1","2","9.7","Understood! Proceeding with the **`module_wgs_bacteria`** template for a quick bacterial genome assembly of *Escherichia coli* from Illumina reads using Shovill.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getSingleInput } from '../functions/parameters.nf'

include { step_2AS_denovo__shovill } from '../steps/step_2AS_denovo__shovill'

// --- GLOBALS ---

def shovillContainer = 'ghcr.io/genpat-it/shovill:1.1.0--2023-03-17'

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow module_wgs_bacteria {
    
    take:
        
        trimmedReads
        
    
    main:
        step_2AS_denovo__shovill(trimmedReads)
    
    emit:
        
        assembly = step_2AS_denovo__shovill.out.assembly
        
    
}

// --- ENTRYPOINT ---
workflow {
    module_wgs_bacteria(getSingleInput())
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_2AS_denovo__shovill } from '../steps/step_2AS_denovo__shovill'
workflow {
    step_2AS_denovo__shovill(getSingleInput())
}
"
