"conv_id","turn_index","modification_kind","base_id","id","category","prompt","syntax_valid","semantic_valid","error_category","error_detail","n_processes","expected_processes","matches_gt_steps","extra_steps","missing_steps","hallucinated_steps","included_steps","called_steps","ground_truth_steps","code_chars","code_lines","n_workflow_calls","turns","elapsed_s","llm_reply_excerpt","nextflow_code","ground_truth_code"
"MOD_M01_E02_add_mlst","1","add","E02_cgmlst_lis_fastp_spades","MOD_M01_E02_add_mlst_t1","modification","cgMLST allelic profile for Listeria monocytogenes from paired Illumina FASTQ (fastp + SPAdes + chewbbaca).","Y","Y","none","","9","9","Y","","","","step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4TY_cgMLST__chewbbaca","step_2AS_denovo__spades, step_4TY_cgMLST__chewbbaca, step_1PP_trimming__fastp","step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4TY_cgMLST__chewbbaca","872","40","3","2","9.1","Great! I'll proceed with the pipeline you approved:

1. **Preprocessing**: Trim reads with fastp (`step_1PP_trimming__fastp`)
2. **Assembly**: Assemble with SPAdes (`step_2AS_denovo__spades`)
3. **cgMLST Typing**: Generate allelic profile with chewbbaca (`step_4TY_cgMLST__chewbbaca`)

I'll now gener","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'

include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'

include { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

def genus_species = 'Listeria monocytogenes'

def schema = 'l_mono_chewie_1748_220623'

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow wf_cgmlst_listeria {
    
    take:
        
        trimmed
        
    
    main:
        assembled = step_2AS_denovo__spades(trimmed).assembled
        step_4TY_cgMLST__chewbbaca(assembled, genus_species, schema)
    
}

// --- ENTRYPOINT ---
workflow {
    trimmed = step_1PP_trimming__fastp(getSingleInput()).trimmed
    wf_cgmlst_listeria(trimmed)
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'
include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    trimmed   = step_1PP_trimming__fastp(getSingleInput()).trimmed
    assembled = step_2AS_denovo__spades(trimmed).assembled
    step_4TY_cgMLST__chewbbaca(assembled, param('genus_species'), optionalOrDefault('schema', ''))
}
"
"MOD_M01_E02_add_mlst","2","add","E02_cgmlst_lis_fastp_spades","MOD_M01_E02_add_mlst_t2","modification","Now also run classic MLST in parallel on the same assembly.","Y","Y","none","","10","10","Y","","","","step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4TY_MLST__mlst, step_4TY_cgMLST__chewbbaca","step_2AS_denovo__spades, step_4TY_cgMLST__chewbbaca, step_4TY_MLST__mlst, step_1PP_trimming__fastp","step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4TY_MLST__mlst, step_4TY_cgMLST__chewbbaca","1123","48","4","2","8.4","I'll proceed with the updated pipeline that includes both cgMLST and classic MLST typing. Here's the final plan:","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'

include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'

include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'

include { getSingleInput } from '../functions/parameters.nf'

include { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'

// --- GLOBALS ---

def genus_species = 'Listeria monocytogenes'

def schema = 'l_mono_chewie_1748_220623'

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow wf_listeria_typing {
    
    take:
        
        trimmed
        
    
    main:
        trimmed.multiMap {
            trimmed: it
            genus_species: genus_species
            schema: schema
        }.set { prep }

        assembly = step_2AS_denovo__spades(prep.trimmed)
        step_4TY_cgMLST__chewbbaca(assembly.assembled, prep.genus_species, prep.schema)
        step_4TY_MLST__mlst(assembly.assembled)
    
}

// --- ENTRYPOINT ---
workflow {
    wf_listeria_typing(step_1PP_trimming__fastp(getSingleInput()).trimmed)
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'
include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'
workflow {
    trimmed   = step_1PP_trimming__fastp(getSingleInput()).trimmed
    assembled = step_2AS_denovo__spades(trimmed).assembled
    step_4TY_cgMLST__chewbbaca(assembled, param('genus_species'), optionalOrDefault('schema', ''))
    step_4TY_MLST__mlst(assembled)
}
"
"MOD_M02_D01_add_chewbbaca","1","add","D01_fastp_spades_lis","MOD_M02_D01_add_chewbbaca_t1","modification","From Illumina paired-end FASTQ of Listeria monocytogenes: trim with fastp and assemble with SPAdes.","Y","Y","none","","6","6","Y","","","","step_1PP_trimming__fastp, step_2AS_denovo__spades","step_1PP_trimming__fastp, step_2AS_denovo__spades","step_1PP_trimming__fastp, step_2AS_denovo__spades","701","38","2","2","141.7","Great! I'll proceed with the pipeline using:
1. `step_1PP_trimming__fastp` for trimming Illumina paired-end reads
2. `step_2AS_denovo__spades` for de novo assembly

This will give you a high-quality assembly for your Listeria monocytogenes sample.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'

include { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow wf_trimming_and_assembly {
    
    take:
        
        rawreads
        
    
    main:
        trimmed = step_1PP_trimming__fastp(rawreads).trimmed
        assembled = step_2AS_denovo__spades(trimmed).assembled
    
    emit:
        
        assembled
        
    
}

// --- ENTRYPOINT ---
workflow {
    wf_trimming_and_assembly(getSingleInput())
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'
include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'
workflow {
    trimmed   = step_1PP_trimming__fastp(getSingleInput()).trimmed
    assembled = step_2AS_denovo__spades(trimmed).assembled
}
"
"MOD_M02_D01_add_chewbbaca","2","add","D01_fastp_spades_lis","MOD_M02_D01_add_chewbbaca_t2","modification","Now also compute cgMLST allelic profiles on the resulting assembly.","Y","N","file_not_found","WARN: file not found: '/mnt/data/cohesive_llm_bench_scratch/_shared_inputdir/2026/2026.LIS.4.1.1/0SQ_rawreads/DS99999-DT260224_import/result/*.fastq*'","0","9","Y","","","","","step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4TY_cgMLST__chewbbaca","step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4TY_cgMLST__chewbbaca","1710","92","3","2","9.7","Great! I'll proceed with the updated pipeline:
1. `step_1PP_trimming__fastp` for trimming Illumina paired-end reads
2. `step_2AS_denovo__spades` for de novo assembly
3. `step_4TY_cgMLST__chewbbaca` for cgMLST allelic profiling

This will give you both the assembly and the detailed allelic profile fo","nextflow.enable.dsl=2

// --- IMPORTS ---

include { extractKey } from '../functions/common.nf'

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow wf_trimming_assembly_cgmlst {
    
    take:
        
        rawreads
        
    
    main:
        trimmed = step_1PP_trimming__fastp(rawreads).trimmed
        assembly = step_2AS_denovo__spades(trimmed).assembled
        step_4TY_cgMLST__chewbbaca(assembly, 'listeria_monocytogenes', 'l_mono_chewie_1748_220623')
    
}

workflow step_1PP_trimming__fastp {
    
    take:
        
        rawreads
        
    
    main:
        trimmed = fastp(rawreads).trimmed
        fastqc(trimmed)
        readsCheckInput = rawreads.cross(trimmed) { extractKey(it) }.multiMap {
          rawreads: it[0]
          trimmed: it[1]
        }
        sample_reads_check(readsCheckInput.rawreads, readsCheckInput.trimmed)
    
    emit:
        
        trimmed
        
    
}

workflow step_2AS_denovo__spades {
    
    take:
        
        data
        
    
    main:
        denovo(data)
        assembly_filter(denovo.out.scaffolds).fasta | quast
        assembled = assembly_filter.out.fasta
    
    emit:
        
        assembled
        
    
}

workflow step_4TY_cgMLST__chewbbaca {
    
    take:
        
        assembly
        
        genus_species
        
        schema
        
    
    main:
        chewbbaca_result = chewbbaca(assembly, genus_species, schema)
        hashing(chewbbaca_result.alleles)
        chewbbaca_check(chewbbaca_result.stats).check
    
}

// --- ENTRYPOINT ---
workflow {
    wf_trimming_assembly_cgmlst(getSingleInput())
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'
include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    trimmed   = step_1PP_trimming__fastp(getSingleInput()).trimmed
    assembled = step_2AS_denovo__spades(trimmed).assembled
    step_4TY_cgMLST__chewbbaca(assembled, param('genus_species'), optionalOrDefault('schema', ''))
}
"
"MOD_M03_B01_add_trimming","1","add","B01_spades_listeria","MOD_M03_B01_add_trimming_t1","modification","De novo genome assembly with SPAdes from Illumina paired-end reads of Listeria monocytogenes.","Y","N","missing_param","ERROR ~ missing required param: hosts_dir","0","3","N","step_1PP_hostdepl__bowtie","","","step_1PP_hostdepl__bowtie, step_2AS_denovo__spades","step_1PP_hostdepl__bowtie, step_2AS_denovo__spades","step_2AS_denovo__spades","1206","57","2","2","7.2","Great! I'll proceed with the `module_denovo` template, which includes host depletion with Bowtie followed by de novo assembly with SPAdes. This is a robust pipeline for Listeria monocytogenes from Illumina paired-end reads.","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getHost; getSingleInput } from '../functions/parameters.nf'

include { extractKey } from '../functions/common.nf'

include { step_1PP_hostdepl__bowtie } from '../steps/step_1PP_hostdepl__bowtie'

include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow module_denovo {
    
    take:
        
        trimmedReads
        
        host
        
    
    main:
        trimmedReads.cross(host) { extractKey(it) }
            .map { [ it[0][0], it[0][1], it[1][1] ] } //riscd, reads, host
            .branch {
                with_host: it[1][1]
                without_host: true
            }
        .set { branchedTrimmed }

        depleted = step_1PP_hostdepl__bowtie(branchedTrimmed.with_host)

        branchedTrimmed.without_host
            .mix(depleted)
            .map { it[0,1] }
            .set{ denovoInput }
        assembled = step_2AS_denovo__spades(denovoInput)
    
    emit:
        
        assembled
        
        depleted
        
    
}

// --- ENTRYPOINT ---
workflow {
    module_denovo(getSingleInput(), getHost())
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'
workflow {
    step_2AS_denovo__spades(getSingleInput())
}
"
"MOD_M03_B01_add_trimming","2","add","B01_spades_listeria","MOD_M03_B01_add_trimming_t2","modification","Add a fastp trimming step before the assembly.","Y","N","missing_param","ERROR ~ missing required param: hosts_dir","0","6","N","step_1PP_hostdepl__bowtie","","","step_1PP_hostdepl__bowtie, step_2AS_denovo__spades","step_1PP_hostdepl__bowtie, step_2AS_denovo__spades, step_1PP_trimming__fastp","step_1PP_trimming__fastp, step_2AS_denovo__spades","1720","82","3","2","9.3","I'll proceed with the updated pipeline that includes fastp trimming before host depletion and assembly. Here's the final plan:

1. **Trimming**: `step_1PP_trimming__fastp` (trims Illumina paired-end reads)
2. **Host depletion**: `step_1PP_hostdepl__bowtie` (removes host sequences)
3. **De novo assem","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getHost; getSingleInput } from '../functions/parameters.nf'

include { extractKey } from '../functions/common.nf'

include { step_1PP_hostdepl__bowtie } from '../steps/step_1PP_hostdepl__bowtie'

include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow module_denovo {
    
    take:
        
        trimmedReads
        
        host
        
    
    main:
        trimmedReads.cross(host) { extractKey(it) }
            .map { [ it[0][0], it[0][1], it[1][1] ] } //riscd, reads, host
            .branch {
                with_host: it[1][1]
                without_host: true
            }
        .set { branchedTrimmed }

        depleted = step_1PP_hostdepl__bowtie(branchedTrimmed.with_host)

        branchedTrimmed.without_host
            .mix(depleted)
            .map { it[0,1] }
            .set{ denovoInput }
        assembled = step_2AS_denovo__spades(denovoInput)
    
    emit:
        
        assembled
        
        depleted
        
    
}

workflow step_1PP_trimming__fastp {
    
    take:
        
        rawreads
        
    
    main:
        trimmed = fastp(rawreads).trimmed

        fastqc(trimmed)
        readsCheckInput = rawreads.cross(trimmed) { extractKey(it) }.multiMap {
            rawreads: it[0]
            trimmed: it[1]
        }
        sample_reads_check(readsCheckInput.rawreads, readsCheckInput.trimmed)
    
    emit:
        
        trimmed
        
    
}

// --- ENTRYPOINT ---
workflow {
    trimmedReads = step_1PP_trimming__fastp(getSingleInput())
    module_denovo(trimmedReads.trimmed, getHost())
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'
include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'
workflow {
    trimmed   = step_1PP_trimming__fastp(getSingleInput()).trimmed
    assembled = step_2AS_denovo__spades(trimmed).assembled
}
"
"MOD_M04_A04_add_mlst_parallel","1","add","A04_cgmlst_listeria","MOD_M04_A04_add_mlst_parallel_t1","modification","cgMLST allelic profile for Listeria monocytogenes from a pre-existing assembly.","Y","N","silent_no_op","No process placeholders appeared. when: clause filtered everything?","0","3","Y","","","","","step_4TY_cgMLST__chewbbaca","step_4TY_cgMLST__chewbbaca","4529","145","1","2","11.3","Great! I'll proceed with the pipeline using the pre-existing assembly and ChewBBACA for cgMLST analysis. Here's the detailed plan:

1. **Input**: Pre-existing assembly for Listeria monocytogenes
2. **Step**: `step_4TY_cgMLST__chewbbaca` - This will generate the cgMLST allelic profile using the assem","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'

include { parseMetadataFromFileName } from '../functions/common.nf'

// --- GLOBALS ---

def SPECIES_SCHEMA = [listeria_monocytogenes : ['l_mono_chewie_1748_220623'], escherichia_coli : ['e_coli_chewie_2360_210531'], salmonella_enterica : ['s_enterica_chewie_3255_210531']]

def SCHEMAS = [l_mono_chewie_1748_220623 : ""/schemas/Listeria_monocytogenes_Pasteur_cgMLST_2022-06-23T18_03_54.613576.zip"", e_coli_chewie_2360_210531 : ""/schemas/Escherichia_coli_INNUENDO_wgMLST_2021-05-31T14_24_05.304225.zip"", s_enterica_chewie_3255_210531 : ""/schemas/Salmonella_enterica_INNUENDO_cgMLST_2021-05-31T20_28_21.350919.zip""]

def CHEWBBACA_SINGLE_END_PARAMS = [l_mono_chewie_1748_220623: ' --minimum-length 144 --st 0.1 --bsr 0.6 ', e_coli_chewie_2360_210531: ' --minimum-length 0 --st 0.01 --bsr 0.6 --genes-list /schemas/Escherichia_coli_INNUENDO_cgMLST_EFSA_filterlist.txt ', s_enterica_chewie_3255_210531: ' --minimum-length 0 --st 0.01 --bsr 0.6 --genes-list /schemas/Salmonella_enterica_INNUENDO_cgMLST_EFSA_filterlist.txt ']

def CHEWBBACA_PAIRED_END_PARAMS = [l_mono_chewie_1748_220623: ' --minimum-length 144 ', e_coli_chewie_2360_210531: ' --minimum-length 0 --genes-list /schemas/Escherichia_coli_INNUENDO_cgMLST_EFSA_filterlist.txt ', s_enterica_chewie_3255_210531: ' --minimum-length 0 --genes-list /schemas/Salmonella_enterica_INNUENDO_cgMLST_EFSA_filterlist.txt ']

// --- INLINE PROCESSES ---

process chewbbaca {
    container 'ghcr.io/genpat-it/chewbbaca-w-chewie-schemas:2.8.5--16b816c96d'
    
    input:
    
    tuple val(riscd_input), path(assembly)
    
    val genus_species
    
    val schema
    
    
    output:
    
    path '**'
    
    path(""${base}_results_statistics.tsv""), emit: stats
    
    tuple path(""${base}_results_alleles.tsv""), path('schema/'), emit: alleles
    
    tuple path(""${base}_results_alleles.tsv""), path(""${base}_new_alleles.txt""), val(schemaName), emit: alleles_with_new
    
    path '{*.sh,*.log}', hidden: true
    
    
    script:
    """"""
md = parseMetadataFromFileName(assembly.getName())
base = ""${md.ds}-${ex.dt}_${md.cmp}_${METHOD}""
schemaName = getSchema(genus_species, schema)
schemaPath = SCHEMAS.get(schemaName)
newAlleleKey = assembly.getName().replaceAll('_', '-')
speciesSpecificParams = getExtraParams(schemaName)
""""""
#!/bin/bash -euo pipefail
unzip ${schemaPath} -d schema > /dev/null
chmod -R 777 schema
mkdir input && cp ${assembly} input/
chewBBACA.py AlleleCall -i input -g schema -o results --cpu ${task.cpus} --force-continue --verbose ${speciesSpecificParams}
grep ""${newAlleleKey}"" schema/*.fasta -A1 -h | grep -v ""\-\-"" > ${base}_new_alleles.txt || echo ""no INF alleles found""
mv results/*/results_alleles.tsv ${base}_results_alleles.tsv
mv results/*/results_contigsInfo.tsv ${base}_results_contigsInfo.tsv
mv results/*/results_statistics.tsv ${base}_results_statistics.tsv
""""""
    """"""
}

process chewbbaca_check {
    container 'quay.io/biocontainers/python:3.9'
    
    input:
    
    path(chewbbacaStats)
    
    
    output:
    
    path '*'
    
    path '{*.sh,*.log}', hidden: true
    
    path(""${base}_import_chewbbaca_check.csv""), emit: check
    
    
    script:
    """"""
md = parseMetadataFromFileName(chewbbacaStats.getName())
base = ""${md.ds}-${ex.dt}_${md.cmp}""
""""""
/scripts/chewieCheck.py --stat ${chewbbacaStats} > ${base}_import_chewbbaca_check.csv
""""""
    """"""
}

process hashing {
    container 'ghcr.io/genpat-it/hashing:1.0--29180a232f'
    
    input:
    
    tuple path(chewbbaca_result), path(schema_path)
    
    
    output:
    
    path '*'
    
    path '{*.sh,*.log}', hidden: true
    
    
    script:
    """"""
md = parseMetadataFromFileName(chewbbaca_result.getName())
base = ""${md.ds}-${ex.dt}_${md.cmp}""
""""""
mask_matrix.py -i ${chewbbaca_result} -o masked_results.tsv
alleleprofile_hasher.py -p masked_results.tsv -d ${schema_path} -o ./_hashed_results.tsv
rm -Rf ${schema_path}/*
""""""
    """"""
}

// --- SUB WORKFLOWS ---

workflow step_4TY_cgMLST__chewbbaca {
    
    take:
        
        assembly
        
        genus_species
        
        schema
        
    
    main:
        chewbbaca_result = chewbbaca(assembly, genus_species, schema)
        hashing(chewbbaca_result.alleles)
        chewbbaca_check(chewbbaca_result.stats).check
    
}

// --- ENTRYPOINT ---
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
workflow {
    step_4TY_cgMLST__chewbbaca(getInput(), param('genus_species'), optionalOrDefault('schema', ''))
}
"
"MOD_M04_A04_add_mlst_parallel","2","add","A04_cgmlst_listeria","MOD_M04_A04_add_mlst_parallel_t2","modification","Also run classic MLST on the same assembly.","Y","N","file_not_found","WARN: file not found: '/mnt/data/cohesive_llm_bench_scratch/_shared_inputdir/2026/2026.LIS.2.1.1/2AS_import/DS99999-DT260224_external/result/*.fasta'","0","4","Y","","","","","step_4TY_cgMLST__chewbbaca, step_4TY_MLST__mlst","step_4TY_MLST__mlst, step_4TY_cgMLST__chewbbaca","891","52","2","1","4.9","I'll add classic MLST analysis to the pipeline as well. Here's the updated plan:

1. **Input**: Pre-existing assembly for Listeria monocytogenes
2. **Step**: `step_4TY_cgMLST__chewbbaca` - Generate cgMLST allelic profile
3. **Step**: `step_4TY_MLST__mlst` - Generate classic MLST profile

This will p","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

def genus_species = 'listeria_monocytogenes'

def schema = 'l_mono_chewie_1748_220623'

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow step_4TY_cgMLST__chewbbaca {
    
    take:
        
        assembly
        
        genus_species
        
        schema
        
    
    main:
        chewbbaca_result = chewbbaca(assembly, genus_species, schema)
        hashing(chewbbaca_result.alleles)
        chewbbaca_check(chewbbaca_result.stats).check
    
}

workflow step_4TY_MLST__mlst {
    
    take:
        
        assembly
        
    
    main:
        mlst(assembly)
    
}

// --- ENTRYPOINT ---
workflow {
    assembly = getSingleInput()
    step_4TY_cgMLST__chewbbaca(assembly, genus_species, schema)
    step_4TY_MLST__mlst(assembly)
}","nextflow.enable.dsl=2

include { getInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_4TY_cgMLST__chewbbaca } from '../steps/step_4TY_cgMLST__chewbbaca'
include { step_4TY_MLST__mlst } from '../steps/step_4TY_MLST__mlst'
workflow {
    asm = getInput()
    step_4TY_cgMLST__chewbbaca(asm, param('genus_species'), optionalOrDefault('schema', ''))
    step_4TY_MLST__mlst(asm)
}
"
"MOD_M05_E07_add_prokka","1","add","E07_abricate_eco","MOD_M05_E07_add_prokka_t1","modification","Resistance gene detection with ABRicate on Escherichia coli from Illumina paired FASTQ.","Y","N","file_not_found","WARN: file not found: '/mnt/data/cohesive_llm_bench_scratch/_shared_inputdir/2026/2026.ECO.6.1.1/0SQ_rawreads/DS99999-DT260224_import/result/*.fastq*'","0","7","N","","step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4AN_AMR__abricate","","","","step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4AN_AMR__abricate","1092","67","0","2","13.7","Great! I'll proceed with the pipeline using the following steps:
1. Assembly with Unicycler (`step_2AS_denovo__unicycler`)
2. Species confirmation with KmerFinder (`step_3TX_species__kmerfinder`)
3. Resistance gene detection with ABRicate (`step_4AN_AMR__abricate`)

This will process your Illumina p","nextflow.enable.dsl=2

// --- IMPORTS ---

include { getSingleInput } from '../functions/parameters.nf'

// --- GLOBALS ---

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow wf_assembly {
    
    take:
        
        reads
        
    
    main:
        unicycler(reads).scaffolds | assembly_filter | quast
        assembled = assembly_filter.out.fasta
    
    emit:
        
        assembled
        
    
}

workflow wf_species_confirmation {
    
    take:
        
        assembled
        
    
    main:
        kmerfinder(assembled)
        assigned_species = kmerfinder.out.check.map { [ it[0], getCalculatedSpecies(it[1]), getBacterialReferencePath(it[1]) ] }
    
    emit:
        
        assigned_species
        
    
}

workflow wf_resistance_gene_detection {
    
    take:
        
        assembled
        
    
    main:
        abricate(assembled)
    
}

// --- ENTRYPOINT ---
workflow {
    reads = getSingleInput()
    wf_assembly(reads)
    wf_species_confirmation(wf_assembly.assembled)
    wf_resistance_gene_detection(wf_assembly.assembled)
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'
include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'
include { step_4AN_AMR__abricate } from '../steps/step_4AN_AMR__abricate'
workflow {
    trimmed   = step_1PP_trimming__fastp(getSingleInput()).trimmed
    assembled = step_2AS_denovo__spades(trimmed).assembled
    step_4AN_AMR__abricate(assembled)
}
"
"MOD_M05_E07_add_prokka","2","add","E07_abricate_eco","MOD_M05_E07_add_prokka_t2","modification","Also annotate the assembly with Prokka.","Y","N","missing_param","ERROR ~ missing required param: step_3TX_species__kmerfinder__db","0","8","N","step_2AS_denovo__unicycler, step_3TX_species__kmerfinder","step_1PP_trimming__fastp, step_2AS_denovo__spades","","step_2AS_denovo__unicycler, step_3TX_species__kmerfinder, step_4AN_AMR__abricate, step_4AN_genes__prokka","step_2AS_denovo__unicycler, step_3TX_species__kmerfinder, step_4AN_genes__prokka, step_4AN_AMR__abricate","step_1PP_trimming__fastp, step_2AS_denovo__spades, step_4AN_AMR__abricate, step_4AN_genes__prokka","1236","53","4","2","8.4","Great! I'll proceed with the pipeline using the following steps:
1. Assembly with Unicycler (`step_2AS_denovo__unicycler`)
2. Species confirmation with KmerFinder (`step_3TX_species__kmerfinder`)
3. Annotation with Prokka (`step_4AN_genes__prokka`)
4. Resistance gene detection with ABRicate (`step_4","nextflow.enable.dsl=2

// --- IMPORTS ---

include { step_4AN_AMR__abricate } from '../steps/step_4AN_AMR__abricate'

include { getEmpty } from '../functions/common.nf'

include { getSingleInput } from '../functions/parameters.nf'

include { step_2AS_denovo__unicycler } from '../steps/step_2AS_denovo__unicycler'

include { step_4AN_genes__prokka } from '../steps/step_4AN_genes__prokka'

include { step_3TX_species__kmerfinder } from '../steps/step_3TX_species__kmerfinder'

// --- GLOBALS ---

def kingdom = 'Bacteria'

def species = 'Escherichia coli'

def riscd_ref = '220308-020220308005121273-2AS_import-external'

// --- INLINE PROCESSES ---

// --- SUB WORKFLOWS ---

workflow wf_assembly_and_annotation {
    
    take:
        
        reads
        
    
    main:
        unicycler_out = step_2AS_denovo__unicycler(reads)
        assembly = unicycler_out.assembled
        step_3TX_species__kmerfinder(assembly)
        step_4AN_genes__prokka(assembly.map { [ it[0], it[1], kingdom, riscd_ref, '-', getEmpty() ] })
        step_4AN_AMR__abricate(assembly)
    
    emit:
        
        assembly = unicycler_out.assembled
        
    
}

// --- ENTRYPOINT ---
workflow {
    wf_assembly_and_annotation(getSingleInput())
}","nextflow.enable.dsl=2

include { getSingleInput; optionalOrDefault; param } from '../functions/parameters.nf'
include { step_1PP_trimming__fastp } from '../steps/step_1PP_trimming__fastp'
include { step_2AS_denovo__spades } from '../steps/step_2AS_denovo__spades'
include { step_4AN_AMR__abricate } from '../steps/step_4AN_AMR__abricate'
include { step_4AN_genes__prokka } from '../steps/step_4AN_genes__prokka'
workflow {
    trimmed   = step_1PP_trimming__fastp(getSingleInput()).trimmed
    assembled = step_2AS_denovo__spades(trimmed).assembled
    step_4AN_AMR__abricate(assembled)
    step_4AN_genes__prokka(assembled)
}
"
